Ticker,Name,Target,Definitive Agreement,Preliminary filing,First Revision,Second Revision,Third Revision,Definitive Filing,Merger Meeting,Expected Close,Investor Presentation
ESSC,East Stone Acquisition Corporation,Ufin Holdings,9/23/2020,11/12/2020,,,,,,First Quarter 2021,https://www.sec.gov/Archives/edgar/data/1760683/000121390020038635/ea130371ex99-1_eaststone.htm
SBE,Switchback Energy Acquisition Corporation,Chargepoing,9/24/2020,10/19/2020,12/4/2020,12/15/2020,12/28/2020,1/8/2021,2/11/2021,SET,https://www.sec.gov/Archives/edgar/data/1777393/000121390020037548/ea130019-425_switchbackenerg.htm
NOVS,Novus Capital Corporation,AppHarvest,9/29/2020,10/9/2020,11/9/2020,12/1/2020,1/7/2021,1/11/2021,1/29/2021,SET,https://novuscapitalcorporation.com/wp-content/uploads/2020/10/Project-Agro-Investor-Presentation-vPublic_2_AppHarvest-1.pdf
MCAC,Mountain Crest Acquisition Corp,Playboy,10/1/2020,11/9/2020,12/18/2020,1/14/2021,,1/21/2021,2/9/2021,SET,https://sec.report/Document/0001104659-20-110689/tm2032160d1_ex99-2.htm
SRAC,Stable Road Acquisition Corp,Momentus,10/7/2020,11/2/2020,12/14/2020,,,,,First Quarter 2021,https://momentus.space/wp-content/uploads/2020/12/Momentus_Featured-Investor-Presentation_December-2020.pdf
AMCI,AMCI Acquisition Corp,Advent Technologies,10/12/2020,11/9/2020,11/25/2020,12/31/200,1/14/2021,1/20/2021,2/2/2021,SET,https://www.sec.gov/Archives/edgar/data/1744494/000114036120023351/brhc10016074_ex99-1.htm
RPLA,Replay Acquisition Corp,Finance of America cos,10/13/2020,11/5/2020,12/22/2020,,,,,First Quarter 2021,https://static1.squarespace.com/static/5c6204c3a09a7e3babbf4140/t/5fc7cc59a66cae076627a266/1606929501075/Analyst+Day+Presentation+%28Dec+2020%29.pdf
CCX,Churchill Capital Corp ,Skillsoft,10/13/2020,,,,,,,First Quarter 2021,https://www.sec.gov/Archives/edgar/data/1774675/000110465920114582/tm2033075-1_425.htm
PCPL,CC Neuberger Principal Holdings ,E2open,10/14/2020,11/6/2020,12/14/2020,1/6/2021,,1/12/2021,2/2/2021,SET,https://s1.q4cdn.com/673545953/files/doc_presentations/2020/10/2020.10_E2open-Investor-Presentation_vFF.pdf
FSDC,FS Development Corp,Gemini Therapeutics,10/15/2020,11/2/2020,12/7/2020,12/28/2020,1/15/2025,1/19/2021,2/3/2021,SET,https://geminitherapeutics.com/wp-content/uploads/Gemini-Therapeutics-Corporate-Presentation-10-15-2020-clean-645AM.pdf
